PID,FirstName,LastName,CLUB,NUM,DOB,POS,HomeTown,HomeState,Height,School,Twitter
1001,Libby,Stout,Boston Breakers,1,6/16/1990,Goalkeeper,Louisville,Kentucky,5-11,Western Kentucky University,@libbystout
1002,Elise,Krieghoff,Boston Breakers,3,11/18/1993,Forward,Clovis,California,5-8,Cal-Poly University,@zedabish
1003,Whitney,Engen,Boston Breakers,4,11/28/1987,Defender,Rolling Hills Estates,California,5-8,University of Carolina,@whitneyengen
1004,Kassey,Kallman,Boston Breakers,5,5/6/1992,Defender,Woodbury,Minnesota,5-8,Florida State University,@kasseykallman
1005,Julie,King,Boston Breakers,8,10/21/1989,Defender,St. Louis,Missouri,5-9,Auburn University,@Julie_King8
1006,Natasha,Dowie,Boston Breakers,9,6/30/1988,Forward,England,N/A,5-7,Roundwood Park School,@tatsdowie
1007,Louise,Schillgard,Boston Breakers,10,10/23/1989,Midfielder,Stockholm,Sweden,5-7,N/A,@Lollofors
1008,Brittany,Ratcliffe,Boston Breakers,11,2/7/1994,Forward,Williamstown,New Jersey,5-4,University of Virginia,@brit_ratcliffe
1009,Abby,Smith,Boston Breakers,14,10/4/1993,Goalkeeper,Plano,Texas,5-9,University of Texas,@abbyys44
1010,Kyah,Simon,Boston Breakers,17,6/25/1991,Forward,Quakers Hills,Australia,5-4,N/A,@KyahSimon
1011,Kristie,Mewis,Boston Breakers,19,2/25/1991,Midfielder,Hanson,Massachusetts,5-7,Boston College,@KristieMewie
1012,Christen,Westphal,Boston Breakers,21,9/2/1993,Defender,Brecksville,Ohio,5-6,University of Florida,@cwestphal20
1013,Stephanie,Verdoia,Boston Breakers,22,1/2/1993,Midfielder,Salt Lake City,Utah,5-6,Seattle University,N/A
1014,Brooke,Elby,Boston Breakers,23,5/24/1993,Defender,Arcadia,California,5-2,University of North Carolina,@BrookeLB93
1015,Angela,Salem,Boston Breakers,26,7/24/1988,Midfielder,Akron,Ohio,5-5,Francis Marion University,@asalem6
1016,Kylie,Strom,Boston Breakers,30,3/18/1992,Defender,Endicott,New York,5-8,Boston University,N/A
1017,Emilie,Haavi,Boston Breakers,N/A,6/16/1992,Forward,Baerum,Norway,5-5,N/A,@EmilieHaavi
1018,Alyssa,Naeher,Chicago Red Stars,1,4/20/1988,Goalkeeper,Bridgeport,Connecticut,5-9,Penn State,@AlyssaNaeher
1019,Jen,Hoy,Chicago Red Stars,2,1/18/1991,Forward,Sellersville,Pennsylvania,5-5,Princeton,@Jenhoy2
1020,Arin,Gilliland,Chicago Red Stars,3,12/25/1992,Defender,Lexington,Kentucky,5-7,University of Kentucky,@agilli16
1021,Alyssa,Mautz,Chicago Red Stars,4,7/29/1989,Midfielder,O'Fallon,Missouri,5-5,Texas A&M,@Alyssa_Mautz
1022,Katie,Naughton,Chicago Red Stars,5,2/15/1994,Defender,Elk Grove Village,Illinois,5-10,Notre Dame,@k_naughton24
1023,Casey,Short,Chicago Red Stars,6,8/23/1990,Defender,Naperville,Illinois,5-8,Florida State University,@caseyshort3
1024,Taylor,Comeau,Chicago Red Stars,7,7/21/1993,Midfielder,Los Gatos,California,5-6,UC Berkeley,@taylor_comeau_
1025,Julie,Johnston,Chicago Red Stars,8,4/6/1992,Defender,Mesa,Arizona,5-7,Santa Clara University,@_JulieJohnston_
1026,Stephanie,McCaffrey,Chicago Red Stars,9,2/18/1993,Forward,Winchester,Massachusetts,5-6,Boston College,@smccaffrey9
1027,Vanessa,DiBernardo,Chicago Red Stars,10,5/15/1992,Midfielder,Naperville,Illinois,5-4,University of Illinois,@vdibernardo10
1028,Sofia,Huerta,Chicago Red Stars,11,12/14/1992,Forward,Boise,Idaho,5-7,Santa Clara University,@schuerta
1029,Cara,Walls,Chicago Red Stars,12,6/16/1993,Forward,Wauwatosa,Wisconsin,5-9,University of Wisconsin- Madison,@Caarraaa
